epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4280.96,0.33288,0.37459,0.79656,0.9984,1,0.995,0.90664,0.44559,0.35306,0.81534,0.000668593,0.000668593,0.000668593
45,4329.4,0.34509,0.37496,0.79624,0.99817,1,0.995,0.93639,0.34592,0.32331,0.80149,0.000650909,0.000650909,0.000650909
46,4377.44,0.33853,0.37576,0.79494,0.99832,1,0.995,0.933,0.37652,0.33419,0.79917,0.000633226,0.000633226,0.000633226
47,4421.87,0.31289,0.3615,0.78558,0.99874,1,0.995,0.93621,0.35637,0.32028,0.79659,0.000615542,0.000615542,0.000615542
48,4472.48,0.33398,0.35961,0.79719,0.99872,1,0.995,0.96349,0.27705,0.30481,0.78757,0.000597858,0.000597858,0.000597858
49,4520.01,0.332,0.36427,0.79925,0.99892,1,0.995,0.92236,0.39718,0.33748,0.80289,0.000580174,0.000580174,0.000580174
50,4568.03,0.31153,0.36189,0.79083,0.99861,1,0.995,0.97057,0.26872,0.30499,0.78442,0.00056249,0.00056249,0.00056249
51,4615.51,0.30486,0.34507,0.792,0.99883,1,0.995,0.88502,0.46902,0.34364,0.82826,0.000544806,0.000544806,0.000544806
52,4674.1,0.30501,0.33923,0.79105,0.99807,1,0.995,0.95893,0.25891,0.29569,0.78526,0.000527122,0.000527122,0.000527122
53,4727.91,0.30852,0.33827,0.79795,0.9984,1,0.995,0.97421,0.25127,0.30286,0.78196,0.000509438,0.000509438,0.000509438
54,4785.82,0.28865,0.33383,0.77832,0.99861,1,0.995,0.97463,0.26178,0.30352,0.78479,0.000491755,0.000491755,0.000491755
55,4845.42,0.30038,0.33338,0.79447,0.99853,1,0.995,0.96817,0.26256,0.30289,0.78289,0.000474071,0.000474071,0.000474071
56,4895.34,0.30111,0.32607,0.79103,0.99875,1,0.995,0.96903,0.25676,0.28606,0.78258,0.000456387,0.000456387,0.000456387
57,4940.91,0.27851,0.31483,0.77774,0.99807,1,0.995,0.96169,0.27667,0.29875,0.78528,0.000438703,0.000438703,0.000438703
58,4998,0.26515,0.31249,0.78895,0.99797,1,0.995,0.9755,0.23864,0.28107,0.78181,0.000421019,0.000421019,0.000421019
59,5056.94,0.27713,0.31292,0.7852,0.99837,1,0.995,0.96633,0.25532,0.27968,0.7815,0.000403335,0.000403335,0.000403335
60,5101.7,0.25118,0.30792,0.78784,0.99892,1,0.995,0.96709,0.25046,0.27469,0.77922,0.000385651,0.000385651,0.000385651
61,5153.51,0.24531,0.30267,0.7823,0.99863,1,0.995,0.98435,0.23165,0.26529,0.7767,0.000367967,0.000367967,0.000367967
62,5395.22,0.24136,0.30016,0.7795,0.9987,1,0.995,0.98107,0.23487,0.27102,0.77678,0.000350284,0.000350284,0.000350284
63,5447.35,0.24875,0.30585,0.7827,0.99838,1,0.995,0.99182,0.20089,0.25674,0.77434,0.0003326,0.0003326,0.0003326
64,5494.49,0.23551,0.29546,0.78314,0.99864,1,0.995,0.98229,0.22681,0.2578,0.77724,0.000314916,0.000314916,0.000314916
65,5578.03,0.2368,0.28966,0.7755,0.99878,1,0.995,0.95827,0.26629,0.26187,0.78128,0.000297232,0.000297232,0.000297232
66,5625.24,0.23234,0.28466,0.77742,0.99892,1,0.995,0.95931,0.27662,0.2642,0.78333,0.000279548,0.000279548,0.000279548
67,5674.07,0.23247,0.28539,0.77299,0.99895,1,0.995,0.98709,0.19517,0.2431,0.77409,0.000261864,0.000261864,0.000261864
68,5727.51,0.24239,0.28784,0.78651,0.9989,1,0.995,0.90843,0.42505,0.29504,0.80202,0.00024418,0.00024418,0.00024418
69,5795.57,0.24951,0.28821,0.774,0.99892,1,0.995,0.91138,0.40579,0.28619,0.80007,0.000226497,0.000226497,0.000226497
70,5860.04,0.22694,0.2828,0.78218,0.99895,1,0.995,0.96929,0.2329,0.24761,0.77886,0.000208813,0.000208813,0.000208813
71,5924.82,0.22505,0.28095,0.77628,0.99891,1,0.995,0.97035,0.26662,0.25436,0.78122,0.000191129,0.000191129,0.000191129
72,5989.16,0.23015,0.28085,0.78039,0.99891,1,0.995,0.96978,0.26484,0.25271,0.77966,0.000173445,0.000173445,0.000173445
73,6053.45,0.21605,0.27301,0.77674,0.9989,1,0.995,0.9744,0.24981,0.24854,0.77814,0.000155761,0.000155761,0.000155761
74,6115.24,0.2044,0.2731,0.77399,0.99888,1,0.995,0.96346,0.27324,0.25137,0.78095,0.000138077,0.000138077,0.000138077
75,6181.14,0.20349,0.26669,0.76804,0.99887,1,0.995,0.99224,0.18387,0.23233,0.77237,0.000120393,0.000120393,0.000120393
76,6239.52,0.19692,0.26577,0.78105,0.99883,1,0.995,0.99333,0.17271,0.22737,0.77162,0.000102709,0.000102709,0.000102709
77,6292.27,0.1981,0.26316,0.7739,0.99886,1,0.995,0.98952,0.21567,0.23941,0.7743,8.50255e-05,8.50255e-05,8.50255e-05
78,6348.69,0.19159,0.25997,0.77722,0.99887,1,0.995,0.96967,0.25431,0.24695,0.77749,6.73416e-05,6.73416e-05,6.73416e-05
79,6409.57,0.1816,0.25776,0.77908,0.99886,1,0.995,0.97237,0.23789,0.24394,0.7763,4.96578e-05,4.96578e-05,4.96578e-05
80,6461.31,0.18884,0.25837,0.77425,0.99889,1,0.995,0.98333,0.20911,0.23738,0.77407,3.19739e-05,3.19739e-05,3.19739e-05
